Համակարգչային եզրույթների բառարան (Microsoft)
==========

English|Հայերեն
asterisk|աստղանիշ
asynchronous|ոչ սինքրոն
asynchronous transfer mode|ոչ սինքրոն փոխանցման կերպ
at sign|ըթ նշանը
ATM|ATM
ATM adaptation layer|ATM հարմարեցման մակարդակ
attach|կցել
attachment|կցորդ
Attachment Previewer|Կցորդի նախադիտակ
Attachment Previewing|Կցորդի նախադիտում
Attachment Reminder|Կցորդի հիշեցում
Attendee/Recipient List|Մասնակիցների/ստացողների ցուցակ
attention|ուշադրություն
attribute|հատկանիշ
AUD|AUD
audio|ձայնային
audio call|ձայնային կանչ
audio CD|ձայնային CD
audio challenge|ձայնային իսկորոշում
audio style|ձայնի ոճ
Audio Video Interleaved|Ձայնա-տեսա միջարկված
audio waveform|հնչյունային ալեպատկեր
AUP|AUP
auth method|իսկորոշման եղանակ
Authentic, Energetic, Reflective, and Open|Իսկական, եռանդուն, արտացոլող եւ բաց
authentication|իսկորոշում
authentication database|իսկորոշման շտեմարան
authentication method|իսկորոշման եղանակ
author|հեղինակ
Author Marks|Հեղինակային նշումներ
authority information access|մատչում լիազորության տեղեկությանը
Authority Key Identifier|Լիազորության բանալիի նույնացուցիչ
authorization|լիազորում
authorize|հավաստագրել
Auto Collage|Ինքնակոլաժ
auto top-up|ինքնալիցքավորում
AutoArchive|ինքնաշխատ պահոց
AutoArchive|ինքնաշխատորեն ի պահ դնել
AutoComplete|Ինքնալրացում
AutoCorrect|Ինքնաշտկում
Auto-Extend|Ինքնա-ընդլայնում
AutoFilter|Ինքնազտիչ
autoformat|ինքնաձևաչափում
AutoLayout|Ինքնադասավորում
automatic|ինքնաշխատ
automatic file restore|նիշքերի ինքնավերականգնում
Automatic Maintenance|Ինքնաշխատ սպասարկում
Automatic Replies|Ինքնաշխատ պատասխաններ
automatic reply|ինքնաշխատ պատասխան
automatically save|ինքնաշխատորեն պահել
Automation|ավտոմատացում
Automation object|Ինքնաշխատեցման առարկա
Automotive|Ավտոմեքենաներ
AutoMovie|Ինքնաշարժանկար
AutoPlay|Ինքնանվագարկում
AutoPreview|Ինքնանախատեսք
auto-recharge|ինքնա-վերալիցքավորում
AutoRecover|Ինքնավերականգնում
Auto-recover|Ինքնա-վերականգնում
auto-redial|ինքնահավաքում
AutoSave|Ինքնապահում
AutoShape|Պատրաստի պատկեր
AutoShapes|Պատրաստի ձև եր
AutoSum|ինքնագումարել
AutoText|ինքնալրացվող գրվածք
auxiliary display|օժանդակ ցուցադրիչ
availability|հասանելիություն
availability indicator|առկայության ցուցիչ
available|մատչելի
available|ցանցում
available memory|առկա հիշողոթյուն
Avatar items|Ավատարի միավորներ
AVERAGE.WEIGHTED|AVERAGE.WEIGHTED
AVI|AVI
Away|Բացակա
axis|առանցք
Azure Data Lake Store|Azure Data Lake Store
Azure HDInsight Spark|Azure HDInsight Spark
BAC|ԲԱՊ
Back|Հետ
Back button|«Հետ» կոճակ
back up|պահուստավորել
background|խորք
background|խորքային
background|հետնաշերտ
background color|խորքային գույն
background graphics|խորքի գծապատկեր
Background pictures|Հետնաշերտային նկարներ
Background Removal|Խորքի հեռացում
backslash|ետշեղգիծ
BACKSPACE key|ԵՏՇԱՐԺ ստեղն
Backstage|Backstage
Backstage view|Backstage տեսք
backup|պահուստ
Backup & manage|Պահուստավորում և կառավարում
backup copy|պահուստային պատճեն
backup file|պահուստային նիշք
backup withholding|լրացուցիչ պահում
backward compatibility|հետհամատեղելիություն
backward slash|ետշեղգիծ
bad debt|անհուսալի պարտք
badge|նշան
badge|տեղեկաքարտ
Balance|Հաշվեկշիռ
balloon|փուչիկ
Banco do Brasil|Banco do Brasil
banded|միջարկվող
bandwidth|թողունակություն
bank|բանկ
bank code|բանկի կոդ
bank sorting code|բանի տեսակավորման կոդ
bank transit number|բանկի նույնացման համար
Banking & investments|Բանկեր և ներդրումներ
banner|ազդերիզ
bar chart|գոտեգծույթ
bar code|գծակոդ
bar graph|գոտեգծույթ
bar of pie chart|բլիթաձև գծապատկերի գոտի
base character|հիմնական գրանշան
Base Smart Card Cryptographic Service Provider|Խելաքարտերի հիմնական ծածկագրման ծառայության տրամագրող
Base Smart Card CSP|Խելաքարտերի հիմնական CSP
base style|հիմնական ոճ
baseboard|հիմնասալիկ
baseline|հիմնագիծ
Basic Bending Process|Հիմնական ծռման ընթացք
Basic Block List|Հիմնական բաժնի ցուցակ
Basic Chevron Process|Հիմնական ծպեղների ընթացք
Basic Cycle|Հիմնական շրջան
basic input/output system|ներածման/արտածման հիմնական համակարգ
Basic Matrix|Հիմնական մատրիցա
Basic Pie|Հիմնական բլիթ
Basic Process|Հիմնական ընթացք
Basic Pyramid|Հիմնական բուրգ
Basic Radial|Հիմնական շառավիղ
Basic Target|Հիմնական նպատակ
Basic Timeline|Հիմնական ժամագիծ
Basic Title|Հիմնական անվանում
Basic Venn|Հիմնական վրածածք
battery|մարտկոց
battery charge|մարտկոցի լիցքը
battery level|մարտկոցի մակարդակը
battery life|մարտկոցի կյանք
battery life|լիցքի մակարդակ
battery saver|մարտկոցի պահպանիչ
baud|բոդ
baud rate|բոդային արագություն
bcc|ծածկապատճեն
BCM|ԳԿԿ
Be Right Back|Շուտով կվերադառնամ
beacon|փարոս
before event|իրադարձությունից առաջ
bending|ծռված
bending picture|ծռված նկար
Bending Picture Accent List|Ծռված նկարի շեշտման ցուցակ
bending process|ծռման ընթացք
beneficiary correspondent account|Շահառուի թղթակից հաշվեհամար
beneficiary INN|շահառուի INN
beneficiary KPP|շահառուի KPP
beneficiary RUT|շահառուի RUT
Best rated|Լավագույնները
Best selling|Լավագույն վաճառվողները
Best selling apps|Լավագույն վաճառվող գործադիրները
Best selling games|Լավագույն վաճառվող խաղերը
Best-rated apps|Լավագույն գործադիրները
Best-rated games|Լավագույն խաղերը
bevel|հատած եզր
bid|գնային առաջարկ
bidi|երկուղղված
bidirectional|երկուղղված
BIK|BIK
bill|հաշիվ
billfold|դրամապանակ
billing|հաշիվների ներկայացում
billing and invoicing|հաշիվների եւ ապրանքագրերի ներկայացում
binary|երկուական
binary digit|երկուական թվանիշ
binary file|երկուական նիշք
bind|կապել
BIND|BIND
Binder|Binder
binding|դերաբաշխում
Bing|Bing
Bing Maps|Bing Քարտեզներ
binomial distribution|երկանդամային բաշխում
biometric sensor|կենսաչափական սենսոր
biometrics|կենսաչափություն
BIOS|BIOS
birthday reminder|ծննդյան օրվա հիշեցում
bit|բիթ
bit rate|բիթային արագություն
bit specification|բիթային բնութագիր
bit toggling keypad|բիթ փոխարկող ստեղնախումբ
bitcoin|բիթքոյն
BitLocker|BitLocker
BitLocker Drive Encryption|BitLocker հիշասարքի գաղտնագրում
BitLocker encrypted installation|BitLocker-ի ծածկագրված տեղադրում
BitLocker Enterprise|BitLocker ձեռնարկություն
BitLocker network unlock|BitLocker ցանցի ապակողպում
bitmap|կետապատկեր
bits per second|բիթ վայրկյանում
blank page|դատարկ էջ
blind carbon copy|ծածկապատճեն
blindness|կուրություն
block|արգելափակել
Block Cycle|Բաժնի շրջան
Block Quote|Հատվածային մեջբերում
Blocked Encodings List|Արգելափակված կոդերի ցուցակ
Blocked Senders List|Ուղարկողների արգելացուցակ
Blocked Top-Level Domain List|Վերին մակարդակի տիրույթների արգելացուցակ
blog|օրագիր
blogger|օրագրող
Bluetooth|Bluetooth
Bluetooth Smart|Bluetooth Smart
blur|լղոզում
body text|հիմնական գրվածք
bold|թավ
Boleto Bancário|Boleto Bancário
book fold|գրքի ծալում
Bookings|Bookings
bookmark|էջանիշ
bookmarklet|հիպերծրագրույթ / էջածրագրույթ
Books|Գրքեր
Books & Reference|Գրքեր և տեղեկատուներ
Boolean expression|Բուլյան արտահայտություն
boot drive|սկզբնաբեռնման հիշասարք
boot partition|սկզբնաբեռնող մասնաբաժին
bootstrap|սկզբնաբեռնում
border|եզրագիծ
Border Painter|Եզրագծի նկարիչ
Border Sampler|Եզրագծի նմուշ
Border Styles gallery|Եզրագծի ոճերի սրահ
bot|բոտ
bound control|կապված պարագա
bound object frame|կապված առարկայի շրջանակ
bounding box|սահմանափակող տուփ
box and whisker chart|տուփային և որոշակի նշանակմամբ գծապատկեր
bps|բ/վ
Bradesco|Bradesco
branch|ճյուղ
branch code|մասնաճյուղի կոդ
Breakdown|Տրոհում
breakpoint|ընդհատակետ
brightness|պայծառություն
Bring Your Own Device|Բեր քո սեփական սարքը
BRL|BRL
broadband|լայնաշերտ
broadband connection|լայնաշերտ կապակցում
broadband network|լայնաշերտ ցանց
Broadcast Slide Show|Հեռարձակվող պատկերահանդես
browse|զննել
browser|զննիչ
browser extension|զննիչի ընդլայնում
browser modifier|զննիչի կերպափոխիչ
browsing history|զննման պատմություն
BSB|BSB
BTC|BTC
Budgeting & taxes|Բյուջե և հարկեր
buffer|պահնակ
build|կառուցել
building block|կառուցվածքային բլոկ
Building Blocks Organizer|Կառուցվածքային բլոկների կազմակերպիչ
built-in app|ներկառուցված գործադիր
built-in style|ներկառուցված ոճ
built-in toolbar|ներկառուցված գործիքագոտի
bullet|պարբերակ
bulleted list|պարբերանշված ցուցակ
Bulleted list|Պարբերանշված ցուցակ
bundle|փաթեթ
bundle|կապոց կազմել
burn|գրանցել
bus|դող
business|ձեռնարկություն
Business|Գործ
Business Applications|Գործարարական գործադիրներ
Business Card|Այցեքարտ
Business Contact Manager|Գործարար կապերի կառավարիչ
Business Intelligence Center|Գործնական տեղեկատվական կենտրոն
busy|զբաղված
busy signal|զբաղվածության ազդանշան
button|կոճակ
button face|կոճակի երես
Buy|Գնել
Buy Skype Credit|Ձեռք բերել Skype-ի վարկ
by default|սկզբնադիր
BYOC/CAL discount|BYOC/CAL զեղչեր
BYOD|BYOD
byte|բայթ
C corporation|C միավորում
CA|վկայագրման ատյան
cable modem|մալուխային մոդեմ
cache|շտեմ
cache|շտեմել
cached page|շտեմված էջ
caching|շտեմում
CAD|CAD
CAL pack|Գնված թույլտվությունների փաթեթ
calculated column|հաշվարկվող սյունակ
calculated field|հաշվարկվող դաշտ
